,CategoryOfFundingActivity.Element:Text
"CD, ENV, RD",2
"AG, CD, ED, ENV, NR, ST",2
"ED, ENV, O",2
"AG, CD, ED, NR",2
"CD, ED, HU, IS",2
"CD, DPR",2
"AG, DPR, ED, ENV, NR",2
"CD, ED, ELT, NR, RD, ST",2
"CD, ED, RD, ST",2
"CD, ED, NR, RD, ST",2
"AG, BC, ELT, NR, ST",2
"ED, ELT, EN, ENV",2
"AG, ED, EN, ENV, NR, RD, ST",2
"ED, ELT, HL, HU, LJL, O",2
"BC, CD, ED, ELT, EN, ENV, LJL, RD, ST",2
"BC, CD, ED, ELT, RD",2
"ED, ELT, FN, HL, HO, LJL",2
"CD, EN, NR",2
"AG, ED, EN, ENV, NR, ST",2
"ED, HL, RA",2
"CD, ED, ENV, HL, NR, RD",2
"CD, ED, ELT, RD",2
"CD, ENV, NR, O, T",2
"BC, ENV, NR",2
"BC, EN, ENV, T",2
"AG, BC, CD, ED, HL, RD",2
"CP, ED, ST",2
"ELT, EN, ENV, OZ, T",2
"AG, BC, CD",2
"AG, ENV, FN, NR, ST",2
"FN, HO, ISS",1
"CD, ED, ELT, ENV, HU, NR, ST",1
"BC, CD, CP, DPR, ED, EN, ENV, FN, HL, HU, LJL, NR, RD, ST",1
"BC, CD, DPR, ED, EN, ENV, FN, HL, HU, NR, RD, ST",1
"AR, ED, EN, ENV, LJL, O, ST",1
"AG, HL, O",1
"CD, DPR, ENV, HL, LJL, NR",1
"BC, CD, ED, O",1
"BC, ENV, IIJ, NR, ST",1
"AR, CD, ED, ELT, FN, HL, HU, ISS, LJL, ST",1
"CD, ED, ENV, HU",1
"AR, ED, ELT, EN, ENV, HL, HU, IS, LJL, ST, T",1
"CD, ST, T",1
"AG, BC, RD",1
"BC, CD, ED, ELT, LJL, RD",1
"ELT, EN, IIJ",1
"BC, EN, ENV, NR, ST",1
"AR, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HU, NR, ST",1
"ED, O, RD, ST",1
"ED, ENV, IS, LJL",1
"BC, ED, ELT, EN, ST",1
"CD, ED, ELT, HU, IIJ, LJL",1
"BC, ED, HU",1
"BC, CD, DPR, ED, ELT, ENV, FN, HL, ISS",1
"FN, ST",1
"AR, ENV, O",1
"CD, ED, EN, ENV, HU, ST",1
"AG, BC, FN",1
"CD, DPR, FN, HL",1
"AG, DPR, ED, EN, ENV, FN, HL, HU, IS",1
"CD, ENV, O",1
"AR, ED, ELT, ENV, HL",1
"AG, AR, CD, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, RD",1
"AG, ISS",1
"AG, BC, ENV, HL, NR",1
"AG, ELT, NR",1
"CD, ED, IS, ST",1
"BC, CD, RD, T",1
"CD, DPR, ED, ELT, ENV, FN, HL, HO, LJL, RD",1
"AG, AR, CD, ED, ENV, FN",1
"BC, CD, CP, ED, ENV, HL, HU, LJL, NR, ST",1
"CD, ELT, EN, RD",1
"AR, CD, ED, ELT, ENV, HL, HU, IS, LJL, ST",1
"AG, AR, BC, CD, ED, ELT, EN, ENV, FN, HU, LJL, O, ST",1
"BC, ED, O",1
"BC, CD, ED, HL, RD",1
